titulo,subtitulo,link
"Alcolumbre abre sessão no plenário, mas põe outras votações à frente; SIGA",16 a 11: aprovação de Messias na CCJ teve placar apertado; saiba como foi,https://g1.globo.com/politica/ao-vivo/sabatina-messias-ccj-senado.ghtml?postId=76851b7c-a4ab-47b0-8752-b13a81b52fa0
Messias é aprovado na CCJ do Senado: o que acontece agora?,,https://g1.globo.com/politica/noticia/2026/04/29/messias-aprovado-na-ccj-o-que-acontece-agora.ghtml
Líder do PL leva 'hate' de bolsonaristas após abraçar Messias em sabatina,"'Sou totalmente contra o aborto', diz Messias a senadores",https://g1.globo.com/politica/politico/noticia/2026/04/29/lider-do-pl-abraca-messias-em-sabatina-e-criticado-e-se-explica-principio-de-educacao.ghtml
Caetano agradece a senador por corrigir fala sobre cantor ter pegado em armas,,https://g1.globo.com/politica/noticia/2026/04/29/sabatina-de-messias-caetano-agradece-otto-alencar-por-corrigir-senador-que-disse-que-ele-pegou-em-armas-fake-news.ghtml
"Trabalhadores poderão usar 20% do FGTS para pagar dívidas, diz ministro","Contas do governo têm déficit de R$ 73,8 bilhões em março, pior resultado para o mês",https://g1.globo.com/economia/noticia/2026/04/29/governo-deve-liberar-r-45-bilhoes-do-fgts-para-reduzir-endividamento-diz-ministro-do-trabalho.ghtml
TCU manda INSS suspender concessão de novos consignados para ajustes,,https://g1.globo.com/economia/noticia/2026/04/29/tcu-manda-inss-suspender-concessao-de-novos-emprestimos-pessoais-consignados-ate-ajustes-internos.ghtml
Funcionário pode ser obrigado a gravar vídeos para redes sociais da empresa?,,https://g1.globo.com/empreendedorismo/guia-do-empreendedor/noticia/2026/04/29/funcionario-pode-ser-obrigado-a-gravar-videos-para-as-redes-sociais-da-empresa.ghtml
Kremlin: Putin alertou Trump sobre 'consequências' de novos ataques ao Irã,"Trump rejeita proposta do Irã para o fim da guerra, diz site ",https://g1.globo.com/mundo/noticia/2026/04/29/trump-e-putin-falaram-ao-telefone-por-uma-hora-e-meia-sobre-ira-e-ucrania-diz-kremlin.ghtml
